categoryID,categoryName,description,productID,productName,supplierID,quantityPerUnit,unitPrice,unitsInStock,unitsOnOrder,reorderLevel,discontinued,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,homePage
1,Beverages,Soft drinks coffees teas beers and ales,1,Chai,1,10 boxes x 20 bags,18.0,39,0,10,0,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
1,Beverages,Soft drinks coffees teas beers and ales,2,Chang,1,24 - 12 oz bottles,19.0,17,40,25,0,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,3,Aniseed Syrup,1,12 - 550 ml bottles,10.0,13,70,25,0,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
1,Beverages,Soft drinks coffees teas beers and ales,24,Guaraná Fantástica,10,12 - 355 ml cans,4.5,20,0,0,1,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,Sao Paulo,,5442,Brazil,(11) 555 4640,,
1,Beverages,Soft drinks coffees teas beers and ales,34,Sasquatch Ale,16,24 - 12 oz bottles,14.0,111,0,15,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,
1,Beverages,Soft drinks coffees teas beers and ales,35,Steeleye Stout,16,24 - 12 oz bottles,18.0,20,0,15,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,
1,Beverages,Soft drinks coffees teas beers and ales,67,Laughing Lumberjack Lager,16,24 - 12 oz bottles,14.0,52,0,10,0,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931,,
1,Beverages,Soft drinks coffees teas beers and ales,38,Côte de Blaye,18,12 - 75 cl bottles,263.5,17,0,15,0,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,203 Rue des Francs-Bourgeois,Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,
1,Beverages,Soft drinks coffees teas beers and ales,39,Chartreuse verte,18,750 cc per bottle,18.0,69,0,5,0,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,203 Rue des Francs-Bourgeois,Paris,,75004,France,(1) 03.83.00.68,(1) 03.83.00.62,
1,Beverages,Soft drinks coffees teas beers and ales,43,Ipoh Coffee,20,16 - 500 g tins,46.0,17,10,25,0,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop Suite #402,Singapore,,0512,Singapore,555-8787,,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,44,Gula Malacca,20,20 - 2 kg bags,19.45,27,0,15,0,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop Suite #402,Singapore,,0512,Singapore,555-8787,,
5,Grains/Cereals,Breads crackers pasta and cereal,42,Singaporean Hokkien Fried Mee,20,32 - 1 kg pkgs.,14.0,26,0,0,1,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop Suite #402,Singapore,,0512,Singapore,555-8787,,
1,Beverages,Soft drinks coffees teas beers and ales,70,Outback Lager,7,24 - 355 ml bottles,15.0,15,10,30,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
2,Condiments,Sweet and savory sauces relishes spreads and seasonings,63,Vegie-spread,7,15 - 625 g jars,43.9,24,0,5,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
3,Confections,Desserts candies and sweet breads,16,Pavlova,7,32 - 500 g boxes,17.45,29,0,10,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
6,Meat/Poultry,Prepared meats,17,Alice Mutton,7,20 - 1 kg tins,39.0,0,0,0,1,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
8,Seafood,Seaweed and fish,18,Carnarvon Tigers,7,16 kg pkg.,62.5,42,0,0,0,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
